"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
1,"Mikal Bridges",28,"NYK","SF",82,82,3036,7,14,0.5,1.9,5.5,0.354,5.1,8.5,0.594,0.57,1.1,1.4,0.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,NA
2,"Josh Hart",29,"NYK","SG",77,77,2897,5,9.6,0.525,1,3.1,0.333,4,6.4,0.618,0.579,2,2.5,0.776,2,7.2,9.2,5.6,1.5,0.3,2,2.5,13.1,NA
3,"Anthony Edwards",23,"MIN","SG",79,79,2871,9,20.2,0.447,4,10.2,0.395,5,10,0.501,0.547,5.2,6.2,0.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3,NA
4,"Devin Booker",28,"PHO","SG",75,75,2795,8.4,18.3,0.461,2.4,7.1,0.332,6.1,11.2,0.542,0.525,5.6,6.2,0.894,1,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,NA
5,"James Harden",35,"LAC","PG",79,79,2789,6.9,16.7,0.41,3,8.6,0.352,3.8,8.1,0.472,0.501,6.5,7.5,0.874,0.7,5.2,5.9,8.9,1.5,0.7,4.4,2.1,23.3,NA
6,"DeMar DeRozan",35,"SAC","SF",77,77,2768,8.1,17,0.477,1.1,3.3,0.328,7,13.7,0.513,0.509,4.9,5.7,0.857,0.7,3.2,3.9,4.4,0.8,0.4,1.4,2,22.2,NA
7,"Trae Young",26,"ATL","PG",76,76,2739,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.6,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,NA
8,"Tyler Herro",25,"MIA","SG",77,77,2725,8.6,18.2,0.472,3.3,8.9,0.375,5.3,9.4,0.565,0.563,3.8,4.3,0.878,0.5,4.8,5.3,5.6,0.9,0.2,2.6,1.1,24.3,NA
9,"OG Anunoby",27,"NYK","PF",74,74,2706,6.5,13.7,0.476,2.3,6.1,0.372,4.2,7.5,0.561,0.559,2.4,3,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,NA
10,"Jalen Green",22,"HOU","SG",82,82,2697,8.1,19.2,0.423,3.1,8.8,0.354,5,10.4,0.482,0.505,3.6,4.5,0.813,0.6,4.4,5,3.8,0.9,0.4,2.7,1.7,23,NA
11,"Christian Braun",23,"DEN","SG",79,77,2675,6.4,11,0.58,1.2,3,0.397,5.2,8,0.648,0.634,2.4,2.9,0.827,1.3,4.2,5.5,2.8,1.1,0.5,1.1,2.3,16.4,NA
12,"Bam Adebayo",27,"MIA","C",78,78,2674,7.3,15,0.485,1.1,3,0.357,6.2,12,0.517,0.521,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19,NA
13,"Ivica Zubac",27,"LAC","C",80,80,2624,8.1,12.9,0.628,0,0,NA,8.1,12.9,0.628,0.628,2.1,3.2,0.661,4.1,9.7,13.9,2.9,0.8,1.2,1.7,2.3,18.4,NA
14,"Jayson Tatum",26,"BOS","PF",72,72,2624,9.1,20.1,0.452,3.4,10,0.343,5.7,10.1,0.559,0.537,4.9,6,0.814,0.7,7.9,8.5,5.9,1,0.5,2.9,2.2,26.5,NA
15,"Jaden McDaniels",24,"MIN","PF",82,82,2614,5.5,11.5,0.477,1.4,4.2,0.33,4.1,7.3,0.561,0.537,1.4,1.8,0.813,1.8,4.7,6.5,2.2,1.5,1,1.3,3.1,13.8,NA
16,"Keegan Murray",24,"SAC","PF",76,76,2610,5,11.3,0.444,2.1,6.2,0.343,2.9,5.1,0.566,0.538,0.8,1,0.833,2,5,7,1.5,0.8,1,0.8,2.6,13,NA
17,"Zach LaVine",29,"2TM","SG",74,74,2602,8.6,16.9,0.511,3.3,7.4,0.446,5.3,9.5,0.562,0.609,3.3,3.9,0.825,0.3,4.1,4.4,4.3,0.8,0.2,2.9,1.7,23.9,NA
17,"Zach LaVine",29,"CHI","SF",42,42,1432,9.1,17.8,0.511,3.4,7.7,0.446,5.7,10.2,0.56,0.607,3.6,4.6,0.797,0.3,4.8,5.1,4.8,1,0.3,3,1.6,25.3,NA
17,"Zach LaVine",29,"SAC","SG",32,32,1170,8.1,15.8,0.511,3.2,7.1,0.446,4.9,8.7,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.7,0.6,0.1,2.7,1.8,22.1,NA
18,"Shai Gilgeous-Alexander",26,"OKC","PG",76,76,2598,11.9,22.9,0.519,2.3,6,0.375,9.7,16.9,0.571,0.569,8.3,9.3,0.898,0.9,4.3,5.3,6.7,1.8,1.1,2.5,2.3,34.4,NA
19,"Michael Porter Jr.",26,"DEN","SF",77,77,2593,7.3,14.5,0.504,2.7,6.8,0.395,4.7,7.8,0.599,0.596,2.1,2.7,0.768,1.9,5.6,7.5,2.3,0.7,0.5,1.4,2.2,19.4,NA
20,"Derrick White",30,"BOS","SG",76,76,2574,5.9,13.4,0.442,3.7,9.7,0.384,2.2,3.7,0.593,0.58,1.9,2.3,0.839,0.9,3.8,4.8,5,1,1.1,1.8,1.9,17.5,NA
21,"Dyson Daniels",21,"ATL","SG",76,76,2571,6.4,12.9,0.493,1.1,3.3,0.34,5.3,9.6,0.545,0.536,1.2,2,0.593,1.7,4.6,6.3,4.7,3.2,0.8,2.2,2.5,15,NA
22,"Nikola Jokić",29,"DEN","C",70,70,2571,11,19.1,0.576,1.9,4.6,0.417,9.1,14.5,0.627,0.627,5.1,6.3,0.8,2.8,9.7,12.5,10,1.8,0.6,3.2,2.2,29,NA
23,"Austin Reaves",26,"LAL","SG",73,73,2550,6.7,14.6,0.46,2.8,7.5,0.377,3.9,7.1,0.547,0.556,4.5,5.2,0.877,0.9,3.8,4.6,5.9,1.1,0.3,2.5,2.1,20.8,NA
24,"Toumani Camara",24,"POR","PF",78,78,2548,4.6,10.1,0.458,1.9,5.1,0.375,2.7,5,0.542,0.552,1.3,1.8,0.722,2.4,3.9,6.4,2.5,1.6,0.7,1.5,3.2,12.5,NA
25,"Pascal Siakam",30,"IND","PF",78,78,2548,8.7,16.7,0.519,1.8,4.6,0.389,6.9,12.1,0.568,0.572,3.2,4.4,0.734,1.9,5.8,7.6,3.7,1,0.6,1.5,2.7,22.3,NA
26,"Brook Lopez",36,"MIL","C",80,80,2546,5.6,10.9,0.509,2,5.3,0.373,3.6,5.7,0.636,0.599,1.6,2,0.826,1.6,4.1,5.7,2,0.7,2.1,1.2,2.4,14.7,NA
27,"Karl-Anthony Towns",29,"NYK","C",72,72,2517,9.1,17.4,0.526,2,4.8,0.42,7.1,12.5,0.567,0.584,4.8,5.8,0.829,3,10.1,13.2,3.2,1,0.7,2.7,3.6,25.2,NA
28,"Bub Carrington",19,"WAS","PG",82,57,2458,4.4,11,0.401,2,6,0.339,2.4,5,0.475,0.493,1,1.2,0.812,0.5,4.5,5,5.3,0.8,0.3,2.1,2.8,11.8,NA
29,"Cade Cunningham",23,"DET","PG",70,70,2452,10,21.4,0.469,2.2,6.1,0.356,7.9,15.3,0.515,0.521,4.6,5.4,0.846,0.8,5.4,6.2,9.4,1,0.8,4.5,2.9,26.9,NA
30,"Tyrese Haliburton",24,"IND","PG",73,73,2451,7,14.8,0.473,3.2,8.3,0.388,3.8,6.5,0.581,0.582,2.8,3.3,0.851,0.6,3.2,3.8,9.9,1.5,0.7,1.8,1.4,20,NA
31,"Coby White",24,"CHI","SG",74,73,2450,7.5,16.5,0.453,3.2,8.6,0.37,4.3,7.9,0.544,0.55,4.1,4.5,0.902,0.4,3.6,4,4.8,1,0.2,2.6,2.3,22.2,NA
32,"LeBron James",40,"LAL","SF",70,70,2444,9.6,18.7,0.513,2.2,5.8,0.376,7.4,12.9,0.574,0.571,3.8,4.9,0.782,1.1,7,8,8.5,1,0.6,3.8,1.5,25.2,NA
33,"Domantas Sabonis",28,"SAC","C",70,70,2429,7.8,13.2,0.59,1,2.3,0.417,6.8,10.9,0.627,0.627,3.2,4.3,0.754,4,10.4,14.4,6.3,0.7,0.4,3,3.4,19.8,NA
34,"Jamal Murray",27,"DEN","PG",67,67,2418,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.2,3.7,0.886,0.7,3.2,3.9,6,1.4,0.5,2.1,1.9,21.4,NA
35,"Alperen Şengün",22,"HOU","C",76,76,2395,8.5,17.2,0.496,0.3,1.4,0.233,8.2,15.8,0.519,0.505,4.4,6.4,0.692,3.9,7.9,11.8,5.6,1.3,0.9,2.9,3.1,21.8,NA
36,"Dillon Brooks",29,"HOU","SF",75,75,2388,5.8,13.5,0.429,2.8,7.1,0.397,3,6.4,0.465,0.533,1.5,1.8,0.818,1.1,3,4.1,1.9,0.9,0.2,1.1,3.6,15.9,NA
37,"Rudy Gobert",32,"MIN","C",72,72,2388,5.1,7.7,0.669,0,0,NA,5.1,7.7,0.669,0.669,2.8,4.1,0.674,4,7.8,11.8,1.9,0.8,1.6,1.3,2.7,13.1,NA
38,"Tobias Harris",32,"DET","PF",73,73,2305,6,12.6,0.477,1.4,4.1,0.345,4.6,8.4,0.542,0.534,2.2,2.6,0.861,1,5.7,6.7,2.5,1.2,0.9,1.3,2.2,15.6,NA
39,"Darius Garland",25,"CLE","PG",75,75,2301,8.7,18.4,0.472,3.3,8.3,0.401,5.4,10.1,0.53,0.562,3.5,4,0.878,0.7,2.6,3.3,7.9,1.4,0.2,3,2.2,24.2,NA
40,"Jalen Brunson",28,"NYK","PG",65,65,2301,9.2,18.8,0.488,2.4,6.2,0.383,6.8,12.6,0.539,0.551,5.8,7,0.821,0.4,2.5,2.9,7.4,0.9,0.1,2.6,2.2,26.4,NA
41,"Jarrett Allen",26,"CLE","C",82,82,2296,7.1,10,0.706,0,0.1,0,7.1,10,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2,17.3,NA
42,"Chris Paul",39,"SAS","PG",82,82,2292,3.9,9.2,0.427,2.2,5.8,0.377,1.7,3.3,0.514,0.547,1.3,1.4,0.924,0.5,4.1,4.6,9.5,1.6,0.3,2,2.4,11.4,NA
43,"Anfernee Simons",25,"POR","SG",70,70,2292,7.5,17.7,0.426,3.4,9.3,0.363,4.1,8.4,0.496,0.521,2.7,3,0.902,0.4,2.6,3,5.3,0.9,0.1,2.2,1.8,21.2,NA
44,"Giannis Antetokounmpo",30,"MIL","PF",67,67,2289,12.5,20.7,0.601,0.2,1,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32,NA
45,"Malik Beasley",28,"DET","SG",82,18,2283,7.3,16.9,0.43,5,12.1,0.416,2.2,4.8,0.466,0.579,1.5,2.2,0.679,0.7,2.6,3.4,2.2,1.2,0.1,1.3,2,21.1,NA
46,"Kentavious Caldwell-Pope",31,"ORL","SG",77,77,2279,3.8,8.6,0.439,1.8,5.2,0.342,2,3.4,0.589,0.543,1.3,1.5,0.863,0.5,2.1,2.7,2.1,1.6,0.5,1,2.1,10.6,NA
47,"Nikola Vučević",34,"CHI","C",73,72,2278,8.7,16.4,0.53,2,5.1,0.402,6.7,11.3,0.587,0.592,1.9,2.4,0.805,2.8,8.8,11.6,4,1,0.8,1.9,2.6,21.3,NA
48,"Payton Pritchard",27,"BOS","PG",80,3,2271,6.5,13.7,0.472,4,9.9,0.407,2.4,3.8,0.642,0.62,1.1,1.3,0.845,1.6,3.2,4.9,4.4,1.1,0.2,1.3,1.9,18.1,NA
49,"Kevin Durant",36,"PHO","PF",62,62,2265,9.4,17.9,0.527,2.5,5.9,0.43,6.9,12,0.574,0.598,4.8,5.7,0.839,0.4,5.6,5.9,4.2,0.8,1.2,3,1.7,26.2,NA
50,"Shaedon Sharpe",21,"POR","SG",72,52,2252,8,17.6,0.452,2.3,7.5,0.311,5.6,10.1,0.557,0.519,3,3.9,0.785,1.1,4.1,5.2,3.2,1,0.3,2.4,1.9,21.3,NA
51,"Stephen Curry",36,"GSW","PG",70,70,2252,9,20.1,0.448,5,12.5,0.397,4,7.6,0.534,0.572,4.5,4.8,0.933,0.6,4.3,5,6.7,1.3,0.5,3.2,1.5,27.5,NA
52,"De'Aaron Fox",27,"2TM","PG",62,62,2241,8.7,18.7,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.4,NA
52,"De'Aaron Fox",27,"SAC","PG",45,45,1663,9,19.1,0.469,2,6.2,0.322,7,12.9,0.539,0.521,4.4,5.3,0.829,1,3.9,4.9,6,1.4,0.4,2.9,2.6,24.3,NA
52,"De'Aaron Fox",27,"SAS","PG",17,17,578,7.8,17.4,0.446,1.6,5.9,0.274,6.2,11.5,0.535,0.493,3.7,4.5,0.819,0.6,4,4.5,7.2,1.6,0.3,2.6,2.9,20.9,NA
53,"Jalen Williams",23,"OKC","SG",69,69,2237,9.1,18.8,0.484,2,5.5,0.365,7.1,13.3,0.533,0.537,3.8,4.8,0.789,0.9,5,5.9,5.7,1.8,0.7,2.4,2.5,24,NA
54,"Donovan Mitchell",28,"CLE","SG",71,71,2232,9.4,21.3,0.443,3.8,10.2,0.368,5.7,11.1,0.512,0.531,4.8,5.8,0.823,0.9,4.3,5.2,5.7,1.5,0.3,2.4,2.3,27.4,NA
55,"Harrison Barnes",32,"SAS","PF",82,82,2230,5.6,11,0.508,2.5,5.8,0.433,3.1,5.2,0.591,0.622,2.6,3.2,0.809,1.6,3.4,5,2.2,0.6,0.2,0.8,1.2,16.3,NA
56,"Julius Randle",30,"MIN","PF",69,69,2226,7.4,15.2,0.485,1.7,5.1,0.344,5.6,10.1,0.555,0.542,4.4,5.4,0.806,2.3,5.5,7.9,5.2,0.8,0.3,3.2,2.8,20.8,NA
57,"Amen Thompson",22,"HOU","SF",69,42,2225,6.3,11.3,0.557,0.4,1.5,0.275,5.9,9.8,0.599,0.575,2.7,4,0.684,3.1,6,9.1,4.3,1.6,1.4,2.2,2.7,15.7,NA
58,"Jaren Jackson Jr.",25,"MEM","C",74,74,2207,9.7,19.8,0.488,2.4,6.3,0.375,7.3,13.4,0.541,0.548,5.1,6.5,0.781,1.5,5.3,6.8,2.4,1.5,1.8,2.5,4.2,26.8,NA
59,"Desmond Bane",26,"MEM","SG",69,68,2205,8,16.6,0.484,2.7,6.8,0.392,5.4,9.8,0.548,0.565,2.9,3.2,0.894,1,5.8,6.8,6,1.3,0.5,2.8,2.7,21.7,NA
60,"Naz Reid",25,"MIN","C",80,17,2200,7,15.1,0.462,2.9,7.6,0.379,4.1,7.5,0.544,0.556,1.8,2.3,0.776,1.5,6.3,7.9,3,0.9,1.2,1.8,3.1,18.6,NA
61,"Tyus Jones",28,"PHO","PG",81,58,2174,5.1,11.3,0.448,2.7,6.6,0.414,2.3,4.7,0.496,0.57,0.8,0.9,0.895,0.7,2.6,3.2,7.1,1.1,0.1,1.5,1,13.7,NA
62,"Myles Turner",28,"IND","C",72,72,2174,6.5,13.4,0.481,2.6,6.5,0.396,3.9,6.9,0.561,0.577,3,3.9,0.773,1.5,6.3,7.8,1.8,0.9,2.4,2,3,18.5,NA
63,"Evan Mobley",23,"CLE","PF",71,71,2167,8.4,15.1,0.557,1.4,3.8,0.37,7,11.2,0.621,0.604,3.7,5.1,0.725,2.7,8.2,10.9,3.8,1,1.9,2.4,2.3,21.9,NA
64,"Taurean Prince",30,"MIL","SF",80,73,2166,3.9,8.5,0.457,2.4,5.6,0.439,1.5,3,0.492,0.6,0.6,0.8,0.813,0.6,4.2,4.8,2.6,1.3,0.2,1.4,2.7,10.9,NA
65,"Stephon Castle",20,"SAS","SG",81,47,2162,7,16.5,0.428,1.6,5.5,0.285,5.5,10.9,0.501,0.476,4.1,5.7,0.724,1.5,3.5,4.9,5.5,1.2,0.4,2.9,2.7,19.8,NA
66,"Deni Avdija",24,"POR","SF",72,54,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,NA
